수집시각,측정시각,측정소,PM10,PM2.5,통합지수,오존,이산화질소,일산화탄소,아황산가스
2025-04-14 20:00:15,2025-04-14 19:00,중구,8,5,54,0.033,0.017,0.3,0.003
2025-04-14 20:00:16,2025-04-14 19:00,한강대로,9,7,45,0.027,0.020,0.4,0.003
2025-04-14 20:00:16,2025-04-14 19:00,종로구,11,8,55,0.035,0.015,0.4,0.002
2025-04-14 20:00:16,2025-04-14 19:00,청계천로,7,7,48,0.029,0.021,0.4,0.002
2025-04-14 20:00:16,2025-04-14 19:00,종로,8,4,46,0.028,0.019,0.4,0.002
2025-04-14 20:00:17,2025-04-14 19:00,용산구,11,6,45,0.027,0.019,0.4,0.002
2025-04-14 20:00:17,2025-04-14 19:00,광진구,8,5,57,0.038,0.014,0.4,0.002
2025-04-14 20:00:17,2025-04-14 19:00,성동구,3,3,53,0.032,0.014,0.3,0.002
2025-04-14 20:00:17,2025-04-14 19:00,강변북로,8,3,52,0.031,0.015,0.3,0.002
2025-04-14 20:00:18,2025-04-14 19:00,중랑구,10,5,48,0.029,0.018,0.4,0.002
2025-04-14 20:00:18,2025-04-14 19:00,동대문구,9,4,51,0.030,0.017,0.4,0.002
2025-04-14 20:00:18,2025-04-14 19:00,홍릉로,9,3,45,0.024,0.027,0.4,0.002
2025-04-14 20:00:19,2025-04-14 19:00,성북구,7,3,51,0.030,0.014,0.4,0.003
2025-04-14 20:00:19,2025-04-14 19:00,정릉로,11,5,55,0.021,0.033,0.5,0.002
2025-04-14 20:00:19,2025-04-14 19:00,도봉구,9,3,58,0.038,0.010,0.4,0.003
2025-04-14 20:00:19,2025-04-14 19:00,은평구,11,3,54,0.033,0.013,0.4,0.003
2025-04-14 20:00:20,2025-04-14 19:00,서대문구,9,6,53,0.033,0.016,0.5,0.002
2025-04-14 20:00:20,2025-04-14 19:00,마포구,12,7,55,0.035,0.019,0.4,0.002
2025-04-14 20:00:20,2025-04-14 19:00,신촌로,12,10,42,0.025,0.023,0.4,0.002
2025-04-14 20:00:21,2025-04-14 19:00,강서구,14,5,52,0.031,0.022,0.4,0.003
2025-04-14 20:00:21,2025-04-14 19:00,공항대로,16,8,44,0.026,0.026,0.4,0.002
2025-04-14 20:00:21,2025-04-14 19:00,구로구,-,11,-,0.031,0.017,0.3,0.002
2025-04-14 20:00:21,2025-04-14 19:00,영등포구,14,10,-,0.031,0.022,0.4,0.002
2025-04-14 20:00:22,2025-04-14 19:00,영등포로,9,3,45,0.027,0.024,0.4,0.002
2025-04-14 20:00:22,2025-04-14 19:00,동작구,11,7,55,0.035,0.018,0.3,0.002
2025-04-14 20:00:22,2025-04-14 19:00,동작대로 중앙차로,13,9,46,0.024,0.027,0.4,0.003
2025-04-14 20:00:23,2025-04-14 19:00,관악구,-,-,-,0.032,0.019,0.4,0.002
2025-04-14 20:00:23,2025-04-14 19:00,강남구,8,5,53,0.033,0.017,0.3,0.002
2025-04-14 20:00:23,2025-04-14 19:00,서초구,18,6,53,0.033,0.016,0.4,0.002
2025-04-14 20:00:24,2025-04-14 19:00,도산대로,12,9,52,0.031,0.015,0.4,0.002
2025-04-14 20:00:24,2025-04-14 19:00,강남대로,11,9,47,0.017,0.028,0.6,0.003
2025-04-14 20:00:24,2025-04-14 19:00,송파구,11,10,49,0.029,0.019,0.4,0.002
2025-04-14 20:00:24,2025-04-14 19:00,강동구,14,9,55,0.035,0.017,0.5,0.002
2025-04-14 20:00:25,2025-04-14 19:00,천호대로,5,4,47,0.025,0.028,0.5,0.002
2025-04-14 20:00:25,2025-04-14 19:00,금천구,10,1,-,0.031,0.022,0.4,0.002
2025-04-14 20:00:25,2025-04-14 19:00,시흥대로,18,3,65,0.017,0.039,0.6,0.002
2025-04-14 20:00:26,2025-04-14 19:00,강북구,9,7,55,0.035,0.014,0.3,0.002
2025-04-14 20:00:26,2025-04-14 19:00,양천구,11,6,52,0.031,0.020,0.4,0.002
2025-04-14 20:00:26,2025-04-14 19:00,노원구,16,15,-,0.038,0.013,0.3,0.003
2025-04-14 20:00:27,2025-04-14 19:00,화랑로,6,7,54,0.028,0.032,0.5,0.002
